date,score
2019-10-05,-0.5423
2019-02-04,0.0
2019-10-08,-0.34
2019-01-30,0.22458
2019-01-29,0.4019
2019-10-01,-0.0354499999999999
2019-01-22,0.342875
2019-01-23,-0.0422399999999999
2019-01-16,0.3609
2019-01-19,0.4404
2019-09-26,0.4720999999999999
2019-09-23,0.0348499999999999
2019-01-02,-0.098075
2019-01-06,0.5719
2019-01-11,0.0
2019-09-18,-0.2073
2018-12-28,0.6191
2018-12-30,0.25
2019-01-01,0.7184
2019-09-20,-0.42285
2019-09-13,0.0
2018-12-20,0.4006333333333334
2018-12-21,0.0
2019-09-17,0.5574
2018-12-13,0.5106
2018-12-14,-0.38865
2018-12-16,0.0
2019-09-05,0.3612
2018-12-19,0.0
2019-09-09,0.5423
2019-09-10,0.0
2019-09-11,-0.35105
2018-12-07,0.6249
2018-12-11,-0.0264571428571428
2019-08-29,0.1935
2018-12-12,0.296
2019-09-03,0.0
2018-12-04,0.3818
2018-12-05,0.4939
2019-08-27,0.0
2019-08-28,0.0
2018-11-28,0.109975
2018-11-29,-0.0516
2018-11-30,0.0
2018-12-02,0.4019
2019-08-23,-0.0556
2018-12-03,0.21225
2019-08-26,0.3182
2018-11-20,0.18795
2018-11-27,-0.1227999999999999
2018-11-14,0.3506
2018-11-15,0.0911749999999999
2018-11-18,-0.4767
2019-08-20,0.0
2019-08-07,0.4215
2018-11-08,-0.0910666666666666
2019-08-08,-0.4939
2019-08-11,0.14245
2018-11-09,-0.7269
2018-11-12,0.0334
2018-10-31,0.3556666666666666
2018-11-01,0.3612
2019-08-01,0.0
2018-11-05,-0.08804
2019-08-03,0.0
2018-10-26,-0.6486
2019-07-29,-0.3182
2019-07-31,0.4404
2018-10-29,0.073675
2018-10-30,0.128
2018-10-08,-0.6597
2018-10-09,0.3119
2018-10-17,0.0450999999999999
2018-10-25,-0.0029714285714285
2019-07-18,-0.1779
2018-10-01,0.21612
2018-10-02,-0.3269
2019-07-12,0.0
2018-10-03,-0.142
2019-07-15,-0.128
2018-10-05,-0.22075
2018-10-07,0.0
2019-07-08,0.0
2018-09-28,0.0736571428571428
2018-09-30,0.4767
2019-07-01,0.0
2018-09-11,-0.1237
2018-09-13,0.296
2018-09-17,-0.6191
2018-09-19,-0.1201249999999999
2018-09-24,0.0
2019-06-26,0.0
2018-08-28,0.12685
2018-08-30,-0.04455
2018-09-03,-0.332075
2019-06-20,-0.3182
2018-09-04,-0.106325
2019-06-21,-0.3182
2018-09-05,-0.4971
2018-09-07,0.1281625
2018-08-22,-0.25
2019-06-17,0.0
2018-08-26,0.14845
2018-08-27,0.0724499999999999
2018-08-13,0.2130857142857143
2018-08-14,-0.42245
2018-08-15,-0.0033571428571428
2018-08-16,-0.06885
2018-08-17,-0.1762333333333333
2019-06-11,-0.1531
2019-06-12,-0.0367333333333333
