,date,score,label
0,2020-01-22,0.2103142857142857,3
1,2020-01-23,-0.100975,2
2,2020-01-20,0.056675,2
3,2020-01-21,0.2601,3
4,2020-01-30,0.0943526315789473,2
5,2020-01-27,0.1233666666666666,2
6,2020-01-28,0.16169,3
7,2020-01-24,0.0862142857142857,2
8,2020-01-26,-0.04154,2
9,2020-01-17,-0.1099285714285714,2
10,2020-01-19,0.2926333333333333,3
11,2020-01-14,0.369025,3
12,2020-01-15,0.039425,2
13,2020-01-16,-0.44345,1
14,2020-01-13,0.225375,3
15,2020-01-09,0.1657285714285714,3
16,2020-01-10,0.3818,3
17,2020-01-12,-0.007613378046152395,2
18,2020-01-08,-0.0825999999999999,2
19,2020-01-07,-0.0069625,2
20,2020-01-06,0.3332,3
21,2020-01-02,0.28985,3
22,2019-12-30,-0.1110833333333333,2
23,2019-12-31,-0.28265,1
24,2020-01-01,-0.6225499999999999,0
25,2019-12-29,0.1779,3
26,2019-12-25,0.002667108244241221,2
27,2019-12-26,0.1304666666666666,2
28,2020-01-18,-0.6908,0
29,2019-12-27,0.4304333333333334,3
30,2019-12-24,-0.031,2
31,2019-12-19,0.15596,3
32,2019-12-20,0.25938,3
33,2019-12-22,-0.00041614496588421535,2
34,2019-12-16,0.279875,3
35,2019-12-17,0.0258,2
36,2019-12-18,0.03472,2
37,2019-12-11,0.2558249999999999,3
38,2019-12-12,0.1749333333333333,3
39,2019-12-13,-0.01005,2
40,2019-12-15,-0.802,0
41,2019-12-09,0.05345,2
42,2019-12-10,-0.0171333333333333,2
43,2019-12-04,0.3374857142857143,3
44,2019-11-26,-0.007762725007618705,2
45,2019-11-27,-0.2454333333333333,1
46,2019-11-29,0.13185,2
47,2019-11-24,0.0015301676435475798,2
48,2019-11-25,0.0939,2
49,2019-11-19,0.001451337763674092,2
50,2019-11-21,-0.3389,1
51,2019-11-22,0.205,3
52,2019-11-12,0.18805,3
53,2019-11-13,0.1457999999999999,2
54,2019-11-14,0.0229399999999999,2
55,2019-11-18,-0.00683335363678667,2
56,2019-11-06,-0.007314482531283945,2
57,2019-11-07,0.296,3
58,2019-11-08,0.57675,4
59,2019-11-10,0.005812259919553622,2
60,2019-10-29,0.3664333333333333,3
61,2019-10-30,0.4071333333333333,3
62,2019-10-31,-0.0317999999999999,2
63,2019-10-28,0.2259333333333333,3
64,2019-10-24,0.39425,3
65,2019-10-25,0.0172999999999999,2
66,2019-10-27,0.1969999999999999,3
67,2019-10-23,0.317,3
68,2020-01-05,0.3071,3
69,2019-10-22,0.28265,3
70,2020-01-03,0.2360999999999999,3
71,2019-10-17,0.40835,3
72,2019-10-18,0.00040673957582753494,2
73,2019-10-20,0.0033897504499009056,2
74,2020-01-04,0.2529333333333333,3
75,2019-10-11,0.4215,3
76,2019-10-15,0.4215,3
77,2019-10-16,0.00629748442354795,2
78,2019-10-04,-0.1350666666666666,2
79,2019-10-07,-0.5199,0
80,2019-10-10,-0.0772,2
81,2019-10-02,-0.2039,1
82,2019-10-03,0.046,2
83,2019-09-27,-0.4215,1
84,2019-09-19,0.36765,3
85,2019-09-24,-0.008424812671127425,2
86,2019-09-25,-0.3071666666666666,1
87,2019-09-08,0.1027,2
88,2019-09-12,0.0018818291032101464,2
89,2019-09-16,0.1252,2
90,2019-08-30,-0.0998999999999999,2
91,2019-09-02,0.0063598535520553705,2
92,2019-09-04,0.1405,2
93,2019-08-22,-0.2007,1
94,2019-08-25,0.006109959915739973,2
95,2019-08-12,-0.0014630719337069386,2
96,2019-08-16,-0.4116999999999999,1
97,2019-12-28,0.1027,2
98,2019-08-18,0.0035948905544658217,2
99,2019-08-19,0.1779,3
100,2019-08-21,0.184275,3
101,2019-08-02,0.296,3
102,2019-08-05,-0.46655,1
103,2019-08-06,0.00854901950680111,2
104,2019-07-26,0.2586,3
105,2019-07-28,0.00023896733168919716,2
106,2019-07-30,0.24975,3
107,2019-07-24,-0.0160499999999999,2
108,2019-07-25,0.05405,2
109,2019-12-23,0.2591666666666666,3
110,2019-07-22,-7.900588973538404e-05,2
111,2019-07-23,0.009037704497240236,2
112,2019-07-19,0.0006389000051155879,2
113,2019-07-21,-0.0027325002536773926,2
114,2019-07-11,0.002961117851206174,2
115,2019-07-16,-0.1068666666666666,2
116,2019-07-09,-0.128,2
117,2019-07-10,0.5994,4
118,2019-07-04,0.009659941193593598,2
119,2019-07-05,0.4493,3
120,2019-06-27,-0.0579499999999999,2
121,2019-06-28,-0.007299832827959374,2
122,2019-07-02,0.59695,4
123,2019-07-03,0.4939,4
124,2019-12-14,0.0013826049870762746,2
125,2019-06-23,0.005219022674924021,2
126,2019-06-24,0.3182,3
127,2019-06-25,-0.00131686809816554,2
128,2019-06-14,-0.2462333333333333,1
129,2019-06-18,-0.0712999999999999,2
130,2019-06-19,0.2023,3
131,2019-06-06,0.0745499999999999,2
132,2019-06-09,0.0012063038287271266,2
133,2019-06-13,-0.0004744777426052149,2
134,2019-05-30,-0.34,1
135,2019-05-31,-0.3602666666666667,1
136,2019-06-04,0.2732,3
137,2019-12-06,0.4161999999999999,3
138,2019-12-07,0.6486,4
139,2019-05-22,0.334125,3
140,2019-12-08,-0.4019,1
141,2019-05-23,-0.4204333333333332,1
142,2019-05-26,-0.6705,0
143,2019-05-15,-0.072275,2
144,2019-05-16,-0.0188499999999999,2
145,2019-05-20,-0.0276,2
146,2019-05-21,-0.303125,1
147,2019-05-03,0.15484,3
148,2019-05-05,0.4005,3
149,2019-12-05,0.0827666666666666,2
150,2019-05-06,-0.0759249999999999,2
