Date,Open,Low,Close,Volume
2015-01-02,532.599976,527.880005,529.549988,1324000
2015-01-05,527.150024,517.75,519.460022,2059100
2015-01-06,520.5,505.549988,506.640015,2722800
2015-01-07,510.950012,503.649994,505.149994,2345900
2015-01-08,501.51001,495.019989,506.910004,3652700
2015-01-09,508.179993,498.649994,500.720001,2097000
2015-01-12,499.23999,490.910004,497.059998,2854100
2015-01-13,502.570007,497.26001,501.799988,3047900
2015-01-14,500.420013,498.160004,505.929993,2640000
2015-01-15,508.890015,502.01001,504.01001,2553400
2015-01-16,503.149994,503.089996,510.459991,2482900
2015-01-20,512.77002,509.369995,509.940002,2339800
2015-01-21,510.839996,509.589996,520.390015,2317800
2015-01-22,523.0,521.909973,537.299988,2803400
2015-01-23,538.030029,535.75,541.950012,2292800
2015-01-26,541.5,532.070007,536.719971,1544700
2015-01-27,531.400024,520.859985,521.190002,1957400
2015-01-28,525.0,512.349976,512.429993,1791100
2015-01-29,512.900024,503.480011,513.22998,3950900
2015-01-30,519.0,518.179993,537.549988,6055400
2015-02-02,534.320007,521.719971,532.200012,3768900
2015-02-03,529.940002,526.809998,533.299988,2330200
2015-02-04,533.140015,525.030029,526.099976,1694800
2015-02-05,527.929993,525.640015,529.830017,1658800
2015-02-06,531.01001,528.650024,533.880005,2134400
2015-02-09,531.059998,527.549988,529.280029,1515700
2015-02-10,532.150024,529.169983,540.159973,2371500
2015-02-11,539.72998,536.0,538.0,1915300
2015-02-12,539.659973,537.0,546.01001,2429500
2015-02-13,547.51001,546.599976,551.159973,2369100
2015-02-17,551.159973,543.26001,545.01001,1958700
2015-02-18,543.820007,539.549988,542.650024,1453300
2015-02-19,542.469971,540.75,546.450012,1541700
2015-02-20,547.580017,538.099976,541.799988,1911700
2015-02-23,539.0,532.0,535.0,1645300
2015-02-24,531.549988,531.0,538.650024,1420300
2015-02-25,538.440002,538.01001,547.330017,2041800
2015-02-26,545.73999,545.090027,559.289978,2701600
2015-02-27,558.150024,557.030029,562.630005,3416400
2015-03-02,567.0,563.150024,575.02002,2520300
2015-03-03,576.349976,570.5,578.789978,2526300
2015-03-04,576.969971,572.52002,578.330017,1850500
2015-03-05,579.619995,578.22998,581.429993,1795900
2015-03-06,582.0,572.059998,572.900024,1879600
2015-03-09,570.919983,569.049988,574.099976,1173900
2015-03-10,568.47998,559.820007,559.849976,1979300
2015-03-11,559.799988,555.409973,555.690002,2026200
2015-03-12,558.47998,555.530029,561.169983,1780100
2015-03-13,559.22998,550.330017,553.0,1771400
2015-03-16,556.929993,551.320007,561.640015,1842800
2015-03-17,558.289978,554.409973,557.609985,1441900
2015-03-18,557.72998,553.5,566.159973,1759700
2015-03-19,564.52002,562.119995,563.669983,1233000
2015-03-20,566.710022,564.47998,564.950012,2216000
2015-03-23,566.0,563.059998,565.369995,1501200
2015-03-24,568.539978,568.090027,577.539978,3957800
2015-03-25,577.570007,567.0,567.0,2653500
2015-03-26,564.650024,558.309998,563.640015,2492100
2015-03-27,561.830017,556.929993,557.549988,1723500
2015-03-30,560.25,556.789978,561.140015,1239400
2015-03-31,557.940002,554.669983,554.700012,1746600
2015-04-01,554.830017,546.030029,549.48999,1932300
2015-04-02,547.409973,540.440002,541.309998,2388000
2015-04-06,538.840027,535.700012,543.950012,1685900
2015-04-07,544.98999,543.590027,544.859985,1365900
2015-04-08,546.0,546.0,548.840027,1419300
2015-04-09,549.210022,541.950012,548.02002,1618300
2015-04-10,549.570007,544.97998,548.539978,1305200
2015-04-13,547.049988,546.299988,548.640015,1466300
2015-04-14,546.570007,535.73999,539.780029,2354300
2015-04-15,537.960022,532.369995,541.039978,2348100
2015-04-16,538.349976,538.099976,543.52002,1586100
2015-04-17,537.309998,529.0,532.73999,2461700
2015-04-20,533.75,533.349976,544.530029,1925400
2015-04-21,546.309998,542.210022,542.919983,1456400
2015-04-22,543.059998,541.320007,549.179993,1590300
2015-04-23,550.409973,550.080017,557.460022,3909200
2015-04-24,580.049988,568.349976,573.659973,4608400
2015-04-27,572.77002,562.299988,566.119995,2403100
2015-04-28,564.320007,560.960022,564.369995,1858900
2015-04-29,560.51001,559.0,561.390015,1681100
2015-04-30,558.559998,546.719971,548.77002,2362000
2015-05-01,550.51001,543.849976,551.159973,1828600
2015-05-04,550.98999,547.390015,552.840027,1763000
