Date,Open,Low,Close,Volume
2015-01-02,46.66,46.540001,46.759998,27913900
2015-01-05,46.369999,46.25,46.330002,39673900
2015-01-06,46.380001,45.540001,45.650002,36447900
2015-01-07,45.98,45.490002,46.23,29114100
2015-01-08,46.75,46.720001,47.59,29645200
2015-01-09,47.610001,46.900002,47.189999,23944200
2015-01-12,47.419998,46.360001,46.599998,23651900
2015-01-13,46.970001,46.060001,46.360001,35270600
2015-01-14,45.959999,45.619999,45.959999,29719600
2015-01-15,46.220001,45.41,45.48,32750800
2015-01-16,45.310001,45.169998,46.240002,35695300
2015-01-20,46.299999,45.57,46.389999,36161900
2015-01-21,45.939999,45.48,45.919998,39081100
2015-01-22,46.380001,46.080002,47.130001,35898000
2015-01-23,47.360001,46.799999,47.18,26211600
2015-01-26,47.0,46.240002,47.009998,42525500
2015-01-27,42.950001,42.110001,42.66,169164000
2015-01-28,42.740002,41.16,41.189999,84507100
2015-01-29,40.93,40.790001,42.009998,63585300
2015-01-30,41.549999,40.349998,40.400002,78004900
2015-02-02,40.59,40.23,41.279999,50352500
2015-02-03,41.630001,41.049999,41.599998,52082400
2015-02-04,41.939999,41.360001,41.84,41614800
2015-02-05,42.220001,41.860001,42.450001,36548200
2015-02-06,42.68,42.150002,42.41,34616600
2015-02-09,42.240002,42.209999,42.360001,31381100
2015-02-10,42.740002,42.18,42.599998,29670700
2015-02-11,42.650002,42.209999,42.380001,38262500
2015-02-12,42.66,42.509998,43.09,33268800
2015-02-13,43.380001,43.150002,43.869999,40264900
2015-02-17,43.970001,43.189999,43.580002,33695700
2015-02-18,43.630001,43.389999,43.529999,27111700
2015-02-19,43.18,43.049999,43.5,27603400
2015-02-20,43.509998,43.290001,43.860001,29721100
2015-02-23,43.700001,43.650002,44.150002,32518800
2015-02-24,44.150002,43.919998,44.09,25271700
2015-02-25,43.950001,43.799999,43.990002,29759800
2015-02-26,43.990002,43.889999,44.060001,28957300
2015-02-27,44.130001,43.66,43.849998,33807700
2015-03-02,43.669998,43.549999,43.880001,31924000
2015-03-03,43.560001,43.09,43.279999,31748600
2015-03-04,43.009998,42.880001,43.060001,25748700
2015-03-05,43.07,42.82,43.110001,23193500
2015-03-06,43.0,42.150002,42.360001,36248800
2015-03-09,42.189999,42.189999,42.849998,32108000
2015-03-10,42.349998,42.029999,42.029999,39159700
2015-03-11,42.310001,41.84,41.98,32215300
2015-03-12,41.330002,40.860001,41.02,59992500
2015-03-13,40.700001,40.610001,41.380001,58007700
2015-03-16,41.470001,41.279999,41.560001,35273500
2015-03-17,41.369999,41.150002,41.700001,31673400
2015-03-18,41.43,41.330002,42.5,44194800
2015-03-19,42.259998,42.220001,42.290001,33879100
2015-03-20,42.560001,42.490002,42.880001,71904500
2015-03-23,42.880001,42.779999,42.860001,26246100
2015-03-24,42.779999,42.75,42.900002,25513300
2015-03-25,42.919998,41.439999,41.459999,43469900
2015-03-26,41.220001,40.919998,41.209999,37495600
2015-03-27,41.119999,40.830002,40.970001,34401400
2015-03-30,41.099998,40.91,40.959999,35049700
2015-03-31,40.779999,40.540001,40.66,34887200
2015-04-01,40.599998,40.310001,40.720001,36865300
2015-04-02,40.66,40.119999,40.290001,37487500
2015-04-06,40.34,40.18,41.549999,39223700
2015-04-07,41.610001,41.310001,41.529999,28809400
2015-04-08,41.459999,41.040001,41.419998,24753400
2015-04-09,41.25,41.25,41.48,25723900
2015-04-10,41.630001,41.41,41.720001,28022000
2015-04-13,41.400002,41.389999,41.759998,30276700
2015-04-14,41.799999,41.389999,41.650002,24244400
2015-04-15,41.759998,41.68,42.259998,27343600
2015-04-16,41.950001,41.82,42.16,22509700
2015-04-17,41.669998,41.16,41.619999,42387600
2015-04-20,41.73,41.68,42.91,46057700
2015-04-21,43.0,42.529999,42.639999,26013800
2015-04-22,42.669998,42.549999,42.990002,25064300
2015-04-23,42.889999,42.799999,43.34,46309500
2015-04-24,45.66,45.650002,47.869999,130933700
2015-04-27,47.23,47.220001,48.029999,59248200
2015-04-28,47.779999,47.700001,49.16,60730800
2015-04-29,48.720001,48.5,49.060001,47804600
2015-04-30,48.700001,48.599998,48.639999,64725500
2015-05-01,48.580002,48.400002,48.66,38937300
2015-05-04,48.369999,48.18,48.240002,34039500
2015-05-05,47.82,47.310001,47.599998,50369200
2015-05-06,47.57,46.02,46.279999,52433000
2015-05-07,46.27,46.16,46.700001,32971700
2015-05-08,47.549999,47.52,47.75,35364900
2015-05-11,47.549999,47.369999,47.369999,24609400
2015-05-12,46.849998,46.419998,47.349998,29928300
2015-05-13,48.189999,47.57,47.630001,34184600
2015-05-14,48.029999,48.029999,48.720001,32980900
2015-05-15,48.869999,48.049999,48.299999,28642700
2015-05-18,47.98,47.610001,48.009998,24136500
2015-05-19,47.560001,47.18,47.580002,28574800
2015-05-20,47.389999,47.27,47.580002,25047900
2015-05-21,47.279999,47.009998,47.419998,22410700
2015-05-22,47.299999,46.82,46.900002,25720600
2015-05-26,46.830002,46.189999,46.59,29581900
2015-05-27,46.82,46.619999,47.610001,27335600
2015-05-28,47.5,47.389999,47.450001,19283700
2015-05-29,47.43,46.59,46.860001,36519600
2015-06-01,47.060001,46.619999,47.23,28837300
2015-06-02,46.93,46.619999,46.919998,21498300
2015-06-03,47.369999,46.82,46.849998,28002200
